NAME	TYPE	SIZE (mm)	DIAMETER (mm)	CASE LEN (mm)	BULLET LENGTH (mm)	WEIGHT (gr)	MV (m/s)	ME (N-m)	MOMENTUM (kgâ‹…m/s)	CHARGE (gr)	NOTE
2mm Kolibri	H	2.7x9					198.12	4.067			
.17 Hornet	R	4.37x35.31					1106.119	955.873		13.2	
.17 HM2	R	4.4x18.1					640.08	225.071			
.17 WSM	R	4.4x31					914.4	542.339			
.17 Remington Fireball	R	4.4x36.1					1230.478	980.278		20.5	
.17 Remington	R	4.4x45.6					1256.69	1290.767		27	
.17 HMR	R	4.5x26.9					769.62	333.539			
4.6x30mm	H	4.6x30					734.568	543.695			
5mm Remington Rimfire Magnum	R	5x26					640.08	443.362			
.204 Ruger	R	5.2x47	5.2	47		24, 32, 40, 45	1341.12, 1287.78, 1188.72, 1104.9	1399.204, 1719.177, 1831.71, 1780.189	2.086, 2.67 , 3.081, 3.222	31.5	
5.45x18mm	H	5.45x18					304.8	127.45			
5.45x39mm	R	5.45x39	5.6	39.82		53, 56, 57, 60	883.92, 883.92, 883.92, 859.536	1327.348, 1401.918, 1461.574, 1435.813	3.036, 3.208, 3.265, 3.342		
.224 Boz	H	5.56x23					762	940.958			
5.56x45mm NATO	R	5.56x45	5.71	44.7	25.4	55, 62, 63	993.648, 947.928, 856.488	1754.431, 1796.462, 1796.462	3.541, 3.808, 3.496	29.5	estimated
.223 Remington	R	5.56x45	5.7	45	25.4	36, 40, 50, 62, 69, 77	1097.28, 1036.32, 914.4, 838.2, 914.4, 944.88	1407.341, 1392.427, 1354.464, 1411.409, 2226.256	2.56, 2.686, 2.963, 3.367, 4.088, 4.714	29.5	
.22 Short	H	5.6x11	5.6	10.7		27, 29	354.787, 345.034	117.956, 111.177	0.621, 0.648	4	
5.6mm Gw Pat 90	R	5.6x45					1219.2	1685.319		29.5	
.22 BR Remington	R	5.69x38.15					1102.462	2155.798		32.8	
.22 LR	R	5.7x15.6	5.7	15.6		30, 31, 32, 38, 40	499.872, 533.4, 435.864, 384.048, 365.76	258.962, 276.587, 191.171, 181.68, 177.612	0.972, 1.071, 0.904, 0.946, 0.948	5	
.22 WMR	R	5.7x26.8					670.56	436.583			
5.7x28mm	H	5.7x28	5.7	28.9	20.83	23, 28, 31	853.44, 716.28, 716.28	542.328, 466.402, 534.193	1.272, 1.3, 1.439	13	
.218 Bee	R	5.7x34.2					1080.516	1114.507		14.9	
.22 Hornet	R	5.7x35.6					935.736	992.48		13	
.221 Remington Fireball	H	5.7x35.6					1155.497	1057.562		22	
.22 PPC	R	5.7x38.5					1122.883	1934.795		32	
.223 WSSM	R	5.7x42.4					1392.326	2600.517		50.5	
.222 Remington	R	5.7x43.2					1146.048	1490.077		26.2	
.22-250 Remington	R	5.7x48.6	5.7	48.6		40, 50, 55, 60, 64	1287.475, 1202.436, 1153.973, 1091.184, 1066.8	2148.975, 2342.857, 2374.041, 2315.741, 2360.483	3.337, 3.896, 4.113, 4.242, 4.424	43	
.224 Weatherby Magnum	R	5.70x48.84					1178.052	2310.364		36.5	
.225 Winchester	R	5.7x49.0					1112.52	2197.829		37	
.220 Swift	R	5.7x56.0	5.7				1348.13	2341.549		46	
5.8x42mm DBP87	R	5.8x42					944.88	1891.408			
6mm BR Norma	R	6x39.6					850.087	2439			
6mm XC	R	6x48					919.886	2626.277			
6x57mm Mauser	R	6x57					792.48	3057			
6mm Lee Navy	R	6x60					780.288	2208.676			
6x62mm Freres	R	6x62					1054.608	3064.216			
6mm PPC	R	6.17x38.5					979.018	2250.708		31.7	
6mm Creedmore	R	6.18x56.72	6.18	56.7	27.05	55, 65, 80, 95, 105	1228.649, 1139.647, 1062.228, 961.949, 904.951	2691.303, 2736.045, 2925.86, 2849.934, 2787.566	4.379, 4.8, 5.506, 5.922, 6.157	54.5	
.240 Weatherby Magnum	R	6.18x63.50					1163.422	3569.948		59	
.243 WSSM	R	6.2x42.4					1239.926	3149.635		54	
.243 Winchester	R	6.2x51.9					1196.34	2901.515		51	
.242 Rimless Nitro Express	R	6.2x60					853.44	2359.176			
.240 Apex	R	6.2x63					883.92	2528.656			
.244 H&H Magnum	R	6.2x71					1066.8	3687.906			
.244 Halger Magnum	R	6.2x71					996.696	2904.226			
.25 ACP	H	6.4x15.6	6.4	15.6	12.9	34, 35, 50	335.28, 274.32, 230.124	127.447, 86.772, 85.417	0.739, 0.622, 0.746	1.8	
.256 Winchester Magnum	H	6.5x32.5					727.253	955.873		18	
6.5mm Grendel	R	6.5x39					798.576	2542.214		32	
.25 WSSM	R	6.5x42.4					1146.658	3499.443		52	
6.5x47mm Lapua	R	6.5x47					883.92	3087			
6.5x50mm SR Arisaka	R	6.5x50					828.142	2665.597		42	
6.5mm JDJ	H	6.5x51.56					827.227	2216.812		38.5	
6.5x53mm	R	6.5x53					807.72	3199.801		38	
6.5x54mm MS	R	6.5x54					729.996	2694.069			
6.5x54mm Mauser	R	6.5x54					719.938	1990.385			
6.5x55mm	R	6.5x55					833.628	3152.347		52	
6.5x57mm Mauser	R	6.5x57					844.906	2845.925			
6.5x58mm Vergueiro	R	6.5x58					845.82	3216.071		46	
6.5x68mm	R	6.5x68					1127.76	4044.494		73	
6.5mm STW	R	6.5x72.39					1005.84				
.25-06 Remington	R	6.54x63.35					1021.08	3407.246		62	
.257 Weatherby Magnum	R	6.54x64.74					1082.04	3671.637		80	
.257 Roberts	R	6.55x56.72					897.941	3057.437		54	
.25-20 Winchester	R	6.6x32.8					640.385	915.197		15	
.250-3000 Savage	R	6.6x48.6					1018.337	2898.803		40.5	
6.5-300 Weatherby Magnum	R	6.7x72					1059.485	4727.842			
6.5mm Creedmoor	R	6.72x48.77					929.64	3380.129		47	
.260 Remington	R	6.72x51.69					1009.802	2769.997		51	
.26 Nosler	R	6.72x65.8					1036.32	4299.394			
.264 Winchester Magnum	R	6.73x63.50					1177.442	4094.661		78	
6.8mm SPC	R	6.8x43	7	42.3	24.51	85, 110, 115, 120	935.736, 762.0, 784.86, 749.808	2413.36, 2067.626, 2296.759, 2185.582	5.154, 5.431, 5.849, 5.83	31	
6.5x52mm Mannlicher-Carcano	R	6.80x52					735.787	2464.932		43	
7x57mm Mauser	R	7x57					835.152	3187.599		52.6	
.270 Weatherby Magnum	R	7.04x64.74					1111.606	4933.931		81	
.270 WSM	R	7.06x53.34					1154.887	4725.13		73	
.270 Winchester	R	7.06x64.52					975.36	4024.157		64	
.280 British	R	7.2x43					776.935	2737.458		28.5	
7mm-08 Remington	R	7.2x51.7					899.16	3641.808		50.4	
7mm WSM	R	7.2x53.3					1111.606	4829.53		73	
7mm Remington Magnum	R	7.2x64					987.552	4477.01		80	
.280 Remington	R	7.2x64.5					1046.378	3930.603		64	
7mm BR Remington	R	7.21x55.6					739.14	2067.669		34	
.28 Nosler	R	7.21x65.8					1005.84	5264.757			
7mm Weatherby Magnum	R	7.22x64.74					1005.84	4746.824		81.8	
7mm Remington Short Action Ultra Magnum	R	7.23x51.69					967.74	4367.186		68	
.280 Ackley Improved	R	7.23x64.14					997.001	4181.435		66	
7mm Remington Ultra Magnum	R	7.23x72.39					1043.94	4992.232		107	
7mm STW	R	7.23x72.39					1013.46	4658.694		91	
7x64mm	R	7.25x64.00					899.16	3667.568		57.6	
7x65mm	R	7.25x65.00					883.006	4169.232		83.6	
.275 H&H Magnum	R	7.3x64					822.96	3525.204			
.280 Jeffery	R	7.3x64					914.4	3796.374			
.280 Ross	R	7.3x66					883.92	3552.321			
7.35x51mm Carcano	R	7.35x51					777.24	2948.97		41	
7.5x55mm Swiss	R	7.5x55					865.327	3964.5		52	
7.63x25mm Mauser	H	7.62x25					429.768	508.444		6	
.30 Carbine	R	7.62x33	7.8	32.8	27.43	110	609.6	1324.663	4.345	16	
.300 AAC Blackout	R	7.62x35					727.862	2016.146		20	
7.62x38mm	H	7.62x38					335.28	393.196		3	
7.62x39mm	R	7.62x39	7.94	38.7	28	122, 124, 154	730.301, 710.184, 641.299	2108.3, 2044.577, 2052.711	5.773, 5.706, 6.4	31.5	OABL based on tula
.308 Marlin Express	R	7.62x48	7.8			140, 160	853.44, 810.768	3304.133, 3407.176	7.742, 8.406	47.7	
7.62x51mm NATO	R	7.62x51					964.692	4063.476		54	
.308 Winchester	R	7.62x51					1023.518	4079.746		54.5	
.300 Ruger Compact Magnum	R	7.62x53					1008.888	5038.331		67.5	
7.62x54mm	R	7.62x54	7.93				882.091	3678.416		52.6	
.30-06 Springfield	R	7.62x63	7.8	63.1		150, 165, 180, 200, 220	886.968, 862.584, 822.96, 774.192, 731.52	3823.412, 3893.915, 3949.504, 3884.424, 3813.922	8.621, 9.223, 9.599, 10.033, 10.428	62.5	
.300 Norma Magnum	R	7.62x63.3					915.314	5971.154			
.32 ACP	H	7.65x17	7.94	17.3		55, 60, 71, 75	200.661, 199.306, 180.324, 298.28	335.28, 252.984, 274.32, 350.52	0.715, 0.775, 0.83, 1.45	3	
7.65x21mm Parabellum	H	7.65x21					330.708	440.651		4.2	
.303 British	R	7.7x56					818.388	3255.391		54	
7.7x58mm Arisaka	R	7.7x58					770.839	3403.178		55	
.30 Herrett	H	7.8x40.5					691.896	1993.096		27	
.300 Savage	R	7.8x47.5					835.152	3389.62		45.2	
.307 Winchester	R	7.8x51					914.4	2824.231		53	
.30-30 Winchester	R	7.8x51.8	7.8	51.8		140, 150, 160, 170	751.332, 728.472, 731.52, 670.56	2561.144, 2578.77, 2774.008, 2477.083	6.816, 7.081, 7.584, 7.387	39	
.300 WSM	R	7.8x53.5	7.8	53.3	27.81	150, 165, 190, 200	1009.802, 982.37, 943.356, 860.146	4958.234, 5161.607, 5192.791, 4796.891	9.815, 10.503, 11.614, 11.147	74.5	estimated
7.5x57mm MAS	R	7.8x57					853.44	3249.968		54	
.30-40 Krag	R	7.8x58.8					883.31	3750.275		51	
.30 Nosler	R	7.8x64.9					975.36	5548.129			
.300 Winchester Magnum	R	7.8x67					1130.503	5278.316		88	
.300 Weatherby Magnum	R	7.8x71.8					1028.7	5274.248		90	
.300 H&H Magnum	R	7.82x72.39					1034.491	4725.13		81	
.30-378 Weatherby Magnum	R	7.83x73.99					1124.712	6719.583		123.5	
.300 Whisper	R	7.84x34.90					310.896	650.808		12	
.30 Remington AR	R	7.849x38.86					937.565	2993.713		40	
.300 Remington Short Action Ultra Magnum	R	7.85x51.18					1116.482	5099.344		69	
.308 Norma Magnum	R	7.85x65.00					1123.798	4935.287		84	
.300 Remington Ultra Magnum	R	7.85x72.39					1108.862	5984.712		107	
.32 S&W	H	7.9x15					181.356	155.922		1.4	
.32 S&W Long	H	7.9x23.4					263.652	178.971		3	
7.62x25mm Tokarev	H	7.90x25.00					566.014	881.301		10.6	
.32 H&R Magnum	H	7.9x27.3					350.52	318.625		12	
.327 Federal Magnum	H	7.9x30					487.68	501.663		14	
7.92x33mm Kurz	R	7.92x33					684.886	1769.381		23	
7.92mm DS	R	7.92x107					1274.064	11850.111			
.32-20 Winchester	R	7.94x33.4					314.249	1560.581		7.5	
.32 rimfire	H	7.95x14.6					288.036	170.837			
.32 NAA	H	7.95x17.3					304.8	241.341		5.4	
8mm Lebel	R	8x50					804.672	2999.136		49	
8x53mm Murata	R	8x53					563.88	2454.084		47.4	
8x56mm MS	R	8x56					700.126	3308.269			
8x58mm Danish Krag	R	8x58					762	3687.906		54.5	
8x60mm Mauser	R	8x60					800.1	3864.166			
8x63mm patron m/32	R	8x63					762	4101.439			
8x64mm Brenneke	R	8x64					880.872	4637			
8x68mm S	R	8x68					1066.8	5366.447		81	
8x57mm I	R	8.09x57.00					822.96	3949.586			
.32 Winchester Special	R	8.18x51.82					719.023	2370.022		38.5	
.32 Winchester Self-Loading	R	8.2x31					438.912	1050.783		12.5	
.325 WSM	R	8.2x53.3					1024.128	5100.7		75	
8x57mm IS	R	8.22x57.00					977.798	4299.394		57	
8mm Remington Magnum	R	8.22x72.39					883.92	5062.737		92	
.318 Westley Richards	R	8.4x60.1					731.52	4330.579			
.333 Jeffery	R	8.5x62.9					762	4379.389			
.338 Marlin Express	R	8.60x48.01					781.812	3961.787		49.3	
.338 Ruger Compact Magnum	R	8.6x51.2					908.304	5240.352		63	
.338-06	R	8.6x63					816.254	4856.648		62.5	
.338 Norma Magnum	R	8.6x63.3					800.1	6221.858			
.33 Nosler	R	8.6x64.9					922.02	6221.987			
.338 Lapua Magnum	R	8.6x70					883.92	6464.683		106	
.338 Remington Ultra Magnum	R	8.60x70.1					1015.594	6090.469		104	
.338 Federal	R	8.61x51.18					895.198	4150.251		52	
.338 Winchester Magnum	R	8.61x63.50					938.784	5527.792		78	
.348 Winchester	R	8.8x57.3					801.624	3640.452		70	
.35 Winchester Self-Loading	R	8.9x29.3					442.57	1149.759		13.5	
.351 Winchester Self-Loading	R	8.9x34.9					563.88	1330.087		19.5	
.380 ACP	H	9x17	9	17.3	11.7	85, 88, 90, 95	300.0, 300.0, 340.0, 291.0	256, 266, 320, 291	1.652, 1.711, 1.983, 1.791	4.3	
9x18mm Makarov	H	9x18	9.27	18.1		95, 115	320.04, 304.8	313.194, 345.734	1.97, 2.271		
9x19mm Parabellum	H	9x19	9.01	19.15	12.98	105, 115, 124, 147	374.904, 359.664, 350.52, 304.8	478.604, 482.672, 493.518, 441.997	2.551, 2.68, 2.816, 2.903	8.2	verify bullet length
.350 Legend	R	9x43					701.04	2440.526		36.5	
9x53mm	R	9x53					640.08	3072.352			
9x56mm MS	R	9x56					640.08	3254.035			
.357 SIG	H	9.02x21.97	9.02	21.97	17.6	115, 125, 147	472.44, 441.96, 381.0	832.473, 791.799, 691.468	3.521, 3.58, 3.629	10.8	
.38 Super	H	9.04x22.86	9.04	22.75	17.6	115, 124, 147	441.96, 411.48, 350.52	728.075, 680.622, 585.714	3.293, 3.306, 3.339	5.4	
9x57mm Mauser	R	9.06x56.8					738.53	3649.943		46	
9mm Browning Long	H	9.09x20.20					335.28	406.754		5	
.38 Special	H	9.1x29.3	9.1	29.3	19.69	110, 125, 130, 158	298.704, 252.984, 246.888, 234.696	318.618, 258.962, 256.25, 282.011	2.129, 2.049, 2.08, 2.403	6.8	
.357 Magnum	H	9.1x33	9.1	33		125, 130, 140, 158, 180	438.912, 429.768, 426.72, 377.952, 344.424	779.596, 778.241, 825.694, 730.787, 691.468	3.555, 3.62, 3.871, 3.87, 4.017	23	
.35 Remington	R	9.1x49	9.1	48.8	30.81	180, 200	646.786, 635.203	2440.476, 2615.377	7.544, 8.232		
.35 Whelen	R	9.1x63					881.177	4559.717		65	
.358 Winchester	R	9.11x51.18					754.38	3687.906		52	
.350 Remington Magnum	R	9.12x55.12					845.82	4635.645		64.5	
9mm Mars	H	9.14x26.32					426.72	915.197			
.38 S&W	H	9.2x19.7					205.74	238.629		2.6	
.38 Long Colt	H	9.2x26.2	9.1	26.2	19.69	125, 150	235.306, 236.83	223.71, 272.52	1.906, 2.302	3.7	
9.3x57mm	R	9.3x57					719.938	3898.063			
9.3x62mm	R	9.3x62					719.328	4795.634		67	
9.3x64mm Brenneke	R	9.3x64					785.165	5853.195			
9.3x74mm	R	9.30x74.70					746.15	5045.11		96.5	
9.5x57mm MS	R	9.5x57					655.32	3752.987			
.376 Steyr	R	9.5x60					839.419	5709.476			
.375 Ruger	R	9.5x65.5					865.632	6555.525		90.5	
.375 Holland & Holland Magnum	R	9.5x72.4					853.44	6372.485		87	
.375 Remington Ultra Magnum	R	9.5x72.4					1003.706	7350.051		105	
.375 Weatherby Magnum	R	9.5x72.6					947.928	7081.594		99	
.38-55 Winchester	R	9.59x53.0					564.794	1579.562		35	
10mm Auto	H	10.17x25.20					472.745	921.977		11.2	
.38-40 Winchester	R	10.17x33.15					353.568	729.446		19.5	
.40 S&W	H	10.2x21.6	10.2	21.6	12.55	135, 155, 165, 180	403.86, 396.24, 320.04, 335.28	713.161, 789.087, 547.751, 656.217	3.533, 3.98, 3.422, 3.911	11.5	estimated from 10mm
.400 Corbon	H	10.2x23					426.72	797.239			
.401 Winchester Self-Loading	R	10.31x38					650.748	2654.751		29	
.41 Long Colt	H	10.35x28.9					222.504	318.625		3.4	
.41 Action Express	H	10.4x22.0					339.547	619.623		8.4	
.41 Remington Magnum	H	10.4x32.8					575.158	1068.408		26.5	
.400 H&H Magnum	R	10.4x72.3					723.9	6799.577			
.408 Cheyenne Tactical	R	10.4x77					1066.8	10499.686			
.405 Winchester	R	10.45x65.61					732.739	4489.213		61	
.416 Remington Magnum	R	10.6x72.4					731.52	6936.518		90	
.416 Rigby	R	10.6x74					736.092	7023.293		116	
.416 Barrett	R	10.6x83					960.12	11882.651		200	
.404 Jeffery	R	10.72x73.02					792.48	6372.485		96.4	
.42 Berdan	R	10.75x58					441.96	2337.482		77	
10.75x68mm Mauser	R	10.75x68					670.56	5070.871			
.44-40 Winchester	H	10.8x33.3					340.462	889.436		7.3	
.44 Special	H	10.9x29	10.9	29	15.49	180, 190, 200, 210, 255	350.52, 350.52, 236.525, 213.36, 304.8	736.21, 756.548, 601.984, 399.967, 767.394	4.088, 4.316, 3.065, 2.903, 5.036	15	
.44 Remington Magnum	H	10.9x32.6	10.9	27.1	18.03	240, 270, 300, 340	411.48, 441.96, 396.24, 450.494	1736.805, 1708.333, 1526.653, 2235.747	6.399, 7.732, 7.703, 9.925	31.5	
.44 AMP	H	10.9x33					452.628	2169.357		27	
.444 Marlin	R	10.9x57.2					731.52	4594.969		56	
.44 Henry	R	11x23	11.3	22.9		200	342.9	770.106	4.444	28	
.44 S&W American	H	11.0x29					233.172	351.164		5.5	
11mm Gras	R	11x59					455.066	2580.178		78	
11x60mm Mauser	R	11x60					435.864	2729.322		77	
11x60mm Murata	R	11x60					453.238	2797.115		77	
.45 ACP	H	11.43x23	11.5	22.8	16.2	160, 165, 185, 200, 230	320.04, 381.0, 350.52, 320.04, 289.56	531.481, 776.885, 736.21, 644.014, 664.352, 389.12	3.318, 4.074, 4.202, 4.148, 4.316	10	
.577/450 Martini-Henry	R	11.43x61					487.68	2535.435		38	
.45 GAP	H	11.5x19.2					351.13	736.225		9	
.455 Webley	H	11.5x19.6					213.36	386.417		5	
.45 Winchester Magnum	H	11.5x30.4					652.272	1906.322		18	
.454 Casull	H	11.5x35.1					579.12	2608.651		38.2	
.450 Bushmaster	R	11.5x43.2					664.464	3720.447			
.460 S&W Magnum	H	11.5x46					670.56	2913.717		48.5	
.45 Raptor	R	11.5x58					914.4	4334.646		48.5	
.45 Colt	H	11.58x32					292.608	623.69		13	
.450 Adams	H	11.6x18					213.36	332.183		13	
.46 rimfire	H	11.6x21.2								20	
.476 Enfield	H	11.6x22					182.88			5.5	
.450 Marlin	R	11.6x53					678.18	4843.089		59	
.45-70	R	11.6x53.5					729.691	3414.025		63	
.460 Weatherby	R	11.6x74					855.878	10174.283		128	
.458 Winchester Magnum	R	11.66x64					652.272	6893.131		81	
.458 Lott	R	11.66x71.12					701.04	7962.895		79	
.465 H&H Magnum	R	11.9x73.5					723.9	8299.145		134	
.480 Ruger	H	12.1x32.6					469.087	1782.94		26.5	
.475 Linebaugh	H	12.1x36					426.72	2360.532			
.450 Nitro Express	R	12.1x83					655.32	6680.262		157	
.470 Nitro Express	R	12.1x83					574.548	6958.212		125	
.50 GI	H	12.7x22.8					365.76	801.307			
.50 Action Express	H	12.7x32.6					449.58	1964.624		32.5	
.50 Beowulf	R	12.7x42					548.64	3902.13			
.500 S&W Magnum	H	12.7x57.2	12.7	41.3	24.38	325, 350, 400, 440, 500	548.64, 487.68, 495.3, 495.3, 457.2	3169.907, 2698.082, 3180.754, 3498.016, 3388.194	11.554, 11.06, 12.838, 14.122, 14.813	45.3	
.50 BMG	R	12.7x99					858.012	17891.769		265	
12.7x108mm	R	12.7x108					822.96	16243.059		255	
.505 Gibbs	R	12.8x80					701.04	8379.141			
.50 Remington Navy	H	13x21.8					228.6	447.43		7	
.500 Linebaugh	H	13x35.7					396.24	2212.743			
.50 Alaskan	R	13x53					516.331	4536.668			
.50-90 Sharps	R	13.0x64					503.53	2996.424		37	
.577 Snider	R	14.5x51					420.624	2290.027		30	
14.5x114mm	R	14.5x114					1005.84	33245.391		1026	
.600 Nitro Express	R	15.7x76					624.84	10323.426		120	
.700 Nitro Express	R	17.8x89					609.6	14325.889			
.950 JDJ	R	24.1x70					670.56	52450.978		3600	
.410-bore	S	10.4	10.4	0.5			368.808	3203.803			
28-gauge	S	10.41	10.41	0.5			368.808	3203.803			
20-gauge	S	13.84	13.84	0.5			368.808	3203.803			
16-gauge	S	15.62	15.62	0.5			368.808	3203.803			
12-gauge	S	16.89	16.89	0.5			368.808	3203.803			
10-gauge	S	18.42	18.42	0.5			368.808	3203.803			
